0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/g2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/we4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/we1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/g3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/g1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/we3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/we2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/13.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/social.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/select-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/u12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:57:53 -0700] "GET /MoivePredictions/ HTTP/1.1" 200 65035
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:57:53 -0700] "GET /MoivePredictions/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:57:53 -0700] "GET /MoivePredictions/assets/css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:57:53 -0700] "GET /MoivePredictions/assets/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:57:53 -0700] "GET /MoivePredictions/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:57:53 -0700] "GET /MoivePredictions/assets/css/popuo-box.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:57:53 -0700] "GET /MoivePredictions/assets/js/jquery.magnific-popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:57:53 -0700] "GET /MoivePredictions/js/responsiveslides.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:57:53 -0700] "GET /MoivePredictions/js/bootstrap.min.js HTTP/1.1" 404 949
