0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:05 -0700] "GET /Intern-Tracking//ckeditor/skins/moono-lisa/icons.png?t=580bcaf HTTP/1.1" 200 12421
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:15 -0700] "GET /Intern-Tracking//ViewAssignTask.action HTTP/1.1" 200 4017
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:19 -0700] "GET /Intern-Tracking//AddTaskOfPjt.action HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:20 -0700] "GET /Intern-Tracking//ckeditor_4.6.1_basic/ckeditor.js HTTP/1.1" 200 402992
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:20 -0700] "GET /Intern-Tracking//ckeditor_4.6.1_basic/samples/js/sample.js HTTP/1.1" 200 1574
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:20 -0700] "GET /Intern-Tracking//ckeditor_4.6.1_basic/samples/css/samples.css HTTP/1.1" 200 67258
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:20 -0700] "GET /Intern-Tracking//ckeditor_4.6.1_basic/samples/toolbarconfigurator/lib/codemirror/neo.css HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:20 -0700] "GET /Intern-Tracking//ckeditor_4.6.1_basic/config.js?t=GB8C HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:20 -0700] "GET /Intern-Tracking//ckeditor_4.6.1_basic/skins/moono-lisa/editor.css?t=GB8C HTTP/1.1" 200 30440
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:20 -0700] "GET /Intern-Tracking//ckeditor_4.6.1_basic/lang/en.js?t=GB8C HTTP/1.1" 200 6331
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:20 -0700] "GET /Intern-Tracking//ckeditor_4.6.1_basic/styles.js?t=GB8C HTTP/1.1" 200 5366
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:20 -0700] "GET /Intern-Tracking//ckeditor_4.6.1_basic/contents.css?t=GB8C HTTP/1.1" 200 2955
